year,firms,ldr,sdr,dr
2011,HDL,0.0711,0.2730,0.3440
2012,HDL,0.0031,0.2274,0.2305
2013,HDL,0.0013,0.1865,0.1878
2014,HDL,0.0711,0.2074,0.2785
2015,HDL,0.0448,0.1571,0.2019
2016,HDL,0.0320,0.0808,0.1128
2017,HDL,0.0193,0.1935,0.2129
2018,HDL,0.0042,0.1511,0.1553
2019,HDL,0.0027,0.1159,0.1186
2020,HDL,0.0010,0.0754,0.0763
2021,HDL,0.0000,0.0006,0.0006
2022,HDL,0.0000,0.0000,0.0000
2011,UNL,0.0000,0.0000,0.0000
2012,UNL,0.0000,0.0000,0.0000
2013,UNL,0.0000,0.0000,0.0000
2014,UNL,0.0000,0.0000,0.0000
2015,UNL,0.0000,0.0000,0.0000
2016,UNL,0.0000,0.0000,0.0000
2017,UNL,0.0000,0.0000,0.0000
2018,UNL,0.0000,0.0000,0.0000
2019,UNL,0.0000,0.0000,0.0000
2020,UNL,0.0000,0.0000,0.0000
2021,UNL,0.0000,0.0000,0.0000
2022,UNL,0.0000,0.0000,0.0000
2017,NLO,0.0000,0.4211,0.4211
2018,NLO,0.0000,0.4325,0.4325
2019,NLO,0.0000,0.4417,0.4417
2020,NLO,0.0000,0.3664,0.3664
2021,NLO,0.0000,0.3703,0.3703
2022,NLO,0.0000,0.3311,0.3311
2011,BNL,0.0000,0.1734,0.1734
2012,BNL,0.0000,0.2215,0.2215
2013,BNL,0.0000,0.1945,0.1945
2014,BNL,0.0000,0.2196,0.2196
2015,BNL,0.0000,0.2525,0.2525
2016,BNL,0.0000,0.0105,0.0105
2017,BNL,0.0000,0.0000,0.0000
2018,BNL,0.0000,0.0000,0.0000
2019,BNL,0.0000,0.0168,0.0168
2020,BNL,0.0000,0.0956,0.0956
2021,BNL,0.1178,0.0000,0.1178
2022,BNL,0.0344,0.0000,0.0344
2017,SHIVM,0.2751,0.1025,0.3776
2018,SHIVM,0.1946,0.1421,0.3367
2019,SHIVM,0.0992,0.0429,0.1421
2020,SHIVM,0.0052,0.0149,0.0201
2021,SHIVM,0.0010,0.0510,0.0519
2022,SHIVM,0.0009,0.0496,0.0504
2015,BNT,0.1594,0.2153,0.3746
2016,BNT,0.1003,0.2610,0.3613
2017,BNT,0.0000,0.1928,0.1928
2018,BNT,0.0000,0.1169,0.1169
2019,BNT,0.1238,0.2064,0.3302
2020,BNT,0.2043,0.2698,0.4741
2021,BNT,0.1406,0.2576,0.3982
2022,BNT,0.0673,0.2212,0.2885
